"","presence","year","julianday","tideangle_deg","mh","mon","Per2","Per4","Time6","Tide4"
"3027",0,2010,129,204,4,5,"MayJun","MayJun1","AM1","3"
"38195",1,2014,347,317,3,12,"RestOfYear","RestOfYear","AM1","1"
"19974",1,2012,180,110,23,6,"MayJun","MayJun3","MNight","2"
"42908",0,2015,179,106,13,6,"MayJun","MayJun3","MDay","2"
"10617",0,2011,83,192,10,3,"RestOfYear","RestOfYear","AM2","3"
"1582",1,2010,68,60,22,3,"RestOfYear","RestOfYear","PM2","2"
"44592",0,2015,250,273,17,9,"RestOfYear","RestOfYear","PM1","4"
"36633",0,2014,277,97,24,10,"RestOfYear","RestOfYear","MNight","2"
"32487",0,2014,104,182,6,4,"RestOfYear","RestOfYear","AM1","3"
"17845",0,2012,28,189,10,1,"RestOfYear","RestOfYear","AM2","3"
"16733",1,2011,347,7,2,12,"RestOfYear","RestOfYear","MNight","1"
"23991",0,2013,110,275,5,4,"RestOfYear","RestOfYear","AM1","4"
"3220",0,2010,137,80,5,5,"MayJun","MayJun1","AM1","2"
"9194",0,2011,23,9,3,1,"RestOfYear","RestOfYear","AM1","1"
"12923",1,2011,179,87,13,6,"MayJun","MayJun3","MDay","2"
"5041",0,2010,214,278,2,8,"RestOfYear","RestOfYear","MNight","4"
"16952",0,2011,356,216,5,12,"RestOfYear","RestOfYear","AM1","3"
"34688",1,2014,196,234,23,7,"RestOfYear","RestOfYear","MNight","4"
"8168",1,2010,345,146,9,12,"RestOfYear","RestOfYear","AM2","3"
"37318",0,2014,306,135,13,11,"RestOfYear","RestOfYear","MDay","2"
"38517",1,2014,360,277,13,12,"RestOfYear","RestOfYear","MDay","4"
"45231",0,2015,277,96,8,10,"RestOfYear","RestOfYear","AM2","2"
"4263",0,2010,181,25,16,6,"RestOfYear","RestOfYear","PM1","1"
"41859",1,2015,135,289,20,5,"MayJun","MayJun1","PM2","4"
"29751",0,2013,353,107,5,12,"RestOfYear","RestOfYear","AM1","2"
"45391",1,2015,284,4,24,10,"RestOfYear","RestOfYear","MNight","1"
"11250",0,2011,109,196,20,4,"RestOfYear","RestOfYear","PM2","3"
"41685",0,2015,128,324,14,5,"MayJun","MayJun1","MDay","1"
"27336",0,2013,251,354,14,9,"RestOfYear","RestOfYear","MDay","1"
"41903",0,2015,137,125,16,5,"MayJun","MayJun1","PM1","2"
"33138",1,2014,131,325,9,5,"MayJun","MayJun1","AM2","1"
"40908",0,2015,95,121,5,4,"RestOfYear","RestOfYear","AM1","2"
"42312",1,2015,154,118,17,6,"MayJun","MayJun2","PM1","2"
"22853",1,2012,301,315,22,10,"RestOfYear","RestOfYear","PM2","4"
"16101",1,2011,320,70,18,11,"RestOfYear","RestOfYear","PM1","2"
"41923",0,2015,138,345,12,5,"MayJun","MayJun1","MDay","1"
"10377",0,2011,73,97,10,3,"RestOfYear","RestOfYear","AM2","2"
"28538",0,2013,301,253,16,10,"RestOfYear","RestOfYear","PM1","4"
"3881",1,2010,164,144,18,6,"MayJun","MayJun3","PM1","3"
"7194",0,2010,304,15,19,10,"RestOfYear","RestOfYear","PM2","1"
"44358",0,2015,240,330,23,8,"RestOfYear","RestOfYear","MNight","1"
"10549",0,2011,80,14,14,3,"RestOfYear","RestOfYear","MDay","1"
"1088",0,2010,47,182,8,2,"RestOfYear","RestOfYear","AM2","3"
"11794",1,2011,132,141,12,5,"MayJun","MayJun1","MDay","3"
"21287",1,2012,236,351,16,8,"RestOfYear","RestOfYear","PM1","1"
"27691",0,2013,266,187,9,9,"RestOfYear","RestOfYear","AM2","3"
"25328",1,2013,165,175,22,6,"MayJun","MayJun3","PM2","3"
"23336",0,2012,323,292,1,11,"RestOfYear","RestOfYear","MNight","4"
"44193",0,2015,234,281,2,8,"RestOfYear","RestOfYear","MNight","4"
"21483",0,2012,244,216,20,9,"RestOfYear","RestOfYear","PM2","3"
"21643",0,2012,251,229,12,9,"RestOfYear","RestOfYear","MDay","4"
"6061",1,2010,256,306,14,9,"RestOfYear","RestOfYear","MDay","4"
"45755",0,2015,300,127,4,10,"RestOfYear","RestOfYear","AM1","2"
"4410",0,2010,187,340,19,7,"RestOfYear","RestOfYear","PM2","1"
"12215",1,2011,150,74,1,5,"MayJun","MayJun2","MNight","2"
"21562",0,2012,248,16,3,9,"RestOfYear","RestOfYear","AM1","1"
"36778",1,2014,284,327,1,10,"RestOfYear","RestOfYear","MNight","1"
"19294",0,2012,152,198,15,6,"MayJun","MayJun2","PM1","3"
"22660",1,2012,293,174,21,10,"RestOfYear","RestOfYear","PM2","3"
"3014",0,2010,128,206,15,5,"MayJun","MayJun1","PM1","3"
"30933",0,2014,37,177,11,2,"RestOfYear","RestOfYear","MDay","3"
"23297",0,2012,321,240,10,11,"RestOfYear","RestOfYear","AM2","4"
"29530",0,2013,343,192,24,12,"RestOfYear","RestOfYear","MNight","3"
"14226",1,2011,234,60,20,8,"RestOfYear","RestOfYear","PM2","2"
"29729",0,2013,352,181,7,12,"RestOfYear","RestOfYear","AM2","3"
"5250",0,2010,222,181,19,8,"RestOfYear","RestOfYear","PM2","3"
"43357",0,2015,199,121,6,7,"RestOfYear","RestOfYear","AM1","2"
"18418",0,2012,116,17,3,4,"RestOfYear","RestOfYear","AM1","1"
"30306",0,2014,11,338,8,1,"RestOfYear","RestOfYear","AM2","1"
"1916",1,2010,82,71,20,3,"RestOfYear","RestOfYear","PM2","2"
"744",0,2010,32,287,24,2,"RestOfYear","RestOfYear","MNight","4"
"40691",0,2015,86,286,3,3,"RestOfYear","RestOfYear","AM1","4"
"10851",0,2011,93,140,5,4,"RestOfYear","RestOfYear","AM1","3"
"8879",0,2011,9,247,24,1,"RestOfYear","RestOfYear","MNight","4"
"5865",0,2010,248,14,10,9,"RestOfYear","RestOfYear","AM2","1"
"45740",0,2015,299,47,13,10,"RestOfYear","RestOfYear","MDay","2"
"5379",1,2010,228,341,4,8,"RestOfYear","RestOfYear","AM1","1"
"19479",0,2012,160,143,8,6,"MayJun","MayJun2","AM2","3"
"15118",1,2011,271,318,24,9,"RestOfYear","RestOfYear","MNight","1"
"15586",0,2011,291,247,12,10,"RestOfYear","RestOfYear","MDay","4"
"32005",0,2014,82,310,3,3,"RestOfYear","RestOfYear","AM1","4"
"37081",0,2014,296,112,16,10,"RestOfYear","RestOfYear","PM1","2"
"18402",0,2012,115,266,11,4,"RestOfYear","RestOfYear","MDay","4"
"14691",0,2011,254,156,5,9,"RestOfYear","RestOfYear","AM1","3"
"7169",1,2010,303,18,18,10,"RestOfYear","RestOfYear","PM1","1"
"41156",0,2015,106,84,13,4,"RestOfYear","RestOfYear","MDay","2"
"39810",0,2015,49,297,10,2,"RestOfYear","RestOfYear","AM2","4"
"1343",0,2010,57,360,23,2,"RestOfYear","RestOfYear","MNight","1"
"26941",1,2013,235,40,3,8,"RestOfYear","RestOfYear","AM1","1"
"43504",0,2015,205,103,9,7,"RestOfYear","RestOfYear","AM2","2"
"11014",0,2011,99,240,24,4,"RestOfYear","RestOfYear","MNight","4"
"6920",1,2010,293,303,9,10,"RestOfYear","RestOfYear","AM2","4"
"39503",0,2015,36,44,15,2,"RestOfYear","RestOfYear","PM1","1"
"36526",0,2014,273,264,13,9,"RestOfYear","RestOfYear","MDay","4"
"45403",0,2015,285,352,12,10,"RestOfYear","RestOfYear","MDay","1"
"34581",1,2014,192,17,12,7,"RestOfYear","RestOfYear","MDay","1"
"31648",0,2014,67,28,6,3,"RestOfYear","RestOfYear","AM1","1"
"36078",0,2014,254,198,21,9,"RestOfYear","RestOfYear","PM2","3"
"9197",1,2011,23,95,6,1,"RestOfYear","RestOfYear","AM1","2"
"25978",0,2013,192,278,24,7,"RestOfYear","RestOfYear","MNight","4"
"31623",0,2014,66,20,5,3,"RestOfYear","RestOfYear","AM1","1"
"35211",1,2014,218,294,18,8,"RestOfYear","RestOfYear","PM1","4"
"23487",0,2012,329,313,8,11,"RestOfYear","RestOfYear","AM2","4"
"2050",0,2010,88,328,11,3,"RestOfYear","RestOfYear","MDay","1"
"46497",0,2015,331,31,2,11,"RestOfYear","RestOfYear","MNight","1"
